project_id,project_key,issue_id,issue_key,issue_type_id,issue_type_name,issue_title,issue_created_date,changelog_id,status_from_id,status_from_name,status_to_id,status_to_name,status_from_category_name,status_to_category_name,status_change_date,issue_points,
1,IN,10439,IN-440,10002,Task,Description tittle,2024-08-01T11:31:48.797000+00:00,13048,10000,Backlog,3,In Progress,To Do,In Progress,2024-08-01T11:31:59.049000+00:00,0,
1,IN,10439,IN-440,10002,Task,Description tittle,2024-08-01T11:31:48.797000+00:00,13087,3,In Progress,10002,Done,In Progress,Done,2024-08-01T18:58:43.053000+00:00,0,
1,IN,10439,IN-440,10002,Task,Description tittle,2024-08-01T11:31:48.797000+00:00,13110,10002,Done,3,In Progress,Done,In Progress,2024-08-01T21:29:35.710000+00:00,0,
1,IN,10439,IN-440,10002,Task,Description tittle,2024-08-01T11:31:48.797000+00:00,14401,3,In Progress,10002,Done,In Progress,Done,2024-08-08T12:38:37.416000+00:00,0,
1,IN,10440,IN-441,10002,Task,Description tittle,2024-08-01T11:50:28.747000+00:00,13053,10000,Backlog,3,In Progress,To Do,In Progress,2024-08-01T11:50:29.225000+00:00,0,
1,IN,10440,IN-441,10002,Task,Description tittle,2024-08-01T11:50:28.747000+00:00,13056,3,In Progress,10008,PR,In Progress,In Progress,2024-08-01T13:37:24.180000+00:00,0,
1,IN,10440,IN-441,10002,Task,Description tittle,2024-08-01T11:50:28.747000+00:00,16635,10008,PR,10002,Done,In Progress,Done,2024-09-03T22:58:29.729000+00:00,0,
1,IN,10441,IN-442,10002,Task,Description tittle,2024-08-01T13:38:20.266000+00:00,13059,10000,Backlog,3,In Progress,To Do,In Progress,2024-08-01T13:38:20.681000+00:00,0,
1,IN,10441,IN-442,10002,Task,Description tittle,2024-08-01T13:38:20.266000+00:00,13193,3,In Progress,10008,PR,In Progress,In Progress,2024-08-02T17:05:09.415000+00:00,0,
1,IN,10441,IN-442,10002,Task,Description tittle,2024-08-01T13:38:20.266000+00:00,16636,10008,PR,10002,Done,In Progress,Done,2024-09-03T22:58:38.556000+00:00,0,
1,IN,10442,IN-443,10002,Task,Description tittle,2024-08-01T14:06:55.562000+00:00,13075,10000,Backlog,3,In Progress,To Do,In Progress,2024-08-01T14:07:05.795000+00:00,0,
1,IN,10442,IN-443,10002,Task,Description tittle,2024-08-01T14:06:55.562000+00:00,13082,3,In Progress,10002,Done,In Progress,Done,2024-08-01T17:17:38.471000+00:00,0,
1,IN,10443,IN-444,10004,Bug,Description tittle,2024-08-01T15:52:20.717000+00:00,13092,10000,Backlog,3,In Progress,To Do,In Progress,2024-08-01T19:24:35.215000+00:00,0,
1,IN,10443,IN-444,10004,Bug,Description tittle,2024-08-01T15:52:20.717000+00:00,13095,3,In Progress,10008,PR,In Progress,In Progress,2024-08-01T19:41:31.356000+00:00,0,
1,IN,10443,IN-444,10004,Bug,Description tittle,2024-08-01T15:52:20.717000+00:00,13462,10008,PR,10004,QA,In Progress,In Progress,2024-08-05T16:57:12.724000+00:00,0,
1,IN,10443,IN-444,10004,Bug,Description tittle,2024-08-01T15:52:20.717000+00:00,13958,10004,QA,10007,DEVOPS,In Progress,In Progress,2024-08-05T18:39:19.399000+00:00,0,
1,IN,10443,IN-444,10004,Bug,Description tittle,2024-08-01T15:52:20.717000+00:00,16709,10007,DEVOPS,10002,Done,In Progress,Done,2024-09-04T19:39:49.976000+00:00,0,
1,IN,10444,IN-445,10002,Task,Description tittle,2024-08-01T17:20:41.916000+00:00,13084,10000,Backlog,3,In Progress,To Do,In Progress,2024-08-01T17:20:49.588000+00:00,0,
1,IN,10444,IN-445,10002,Task,Description tittle,2024-08-01T17:20:41.916000+00:00,13210,3,In Progress,10005,TECHNICAL TEST,In Progress,In Progress,2024-08-05T13:45:15.821000+00:00,0,
